parameter,mean_estimate,sd_estimate,p05,p95,coefficient_of_variation_abs
avoided_emissions,1.0146846292453753,0.002203985930760368,1.0110342647982704,1.0185373621389804,0.0021720895981516843
carbon_stock_gain,0.9854453143977683,0.0022032004504403684,0.9821387638778735,0.9885311310344673,0.0022357409548911006
methane_penalty,-0.9940776325942291,0.005853937647131236,-1.0052891460238225,-0.9833417340880121,0.005888813369377519
reversal_exposure,-0.144694551834533,0.0032572985719651346,-0.14870752010786703,-0.138221639847895,0.022511549696781968
leakage_exposure,-0.1019948233238118,0.010369767316628815,-0.11913878410516589,-0.08717727953597787,0.10166954635900062
implementation_disturbance,-0.9766392318232964,0.010109978669943055,-0.9928257407319482,-0.9599313838779142,0.010351804792257271
